query,domain,top_k
metal organic framework inverse design adsorption selectivity machine learning,materials-science,12
solid state battery interface stability operando characterization,materials-science,12
perovskite stability degradation mechanism experiment data,materials-science,12
single cell perturbation response foundation model benchmarking,computational-biology,12
crispr guide design off-target prediction high-throughput validation,computational-biology,12
drug discovery hit-to-lead optimization failure analysis medicinal chemistry,drug-discovery,12
protein ligand binding affinity prediction uncertainty calibration benchmark,drug-discovery,12
climate model emulation uncertainty quantification physical consistency,earth-science,12
geophysical inverse problem neural operator benchmark dataset,earth-science,12
quantum chemistry reaction pathway planning ai benchmark,computational-chemistry,12
