query,domain,top_k
de novo protein design activity optimization failure analysis,protein-engineering,8
enzyme catalytic efficiency directed evolution computational design,protein-engineering,8
magnetic flux rope instability laboratory experiment failed eruption,plasma-physics,8
materials discovery inverse design experiment planning ai,materials-science,8
scientific benchmark dataset reasoning evaluation large language model,scientific-ml,8
antibody engineering affinity maturation language model design,protein-engineering,10
protein interface design failure case study buried hydrogen bonds,protein-engineering,10
enzyme active site redesign catalytic mechanism computational and experimental,protein-engineering,10
metal organic framework inverse design adsorption selectivity machine learning,materials-science,10
solid state battery interface stability operando characterization,materials-science,10
perovskite stability degradation mechanism experiment data,materials-science,10
single cell perturbation response foundation model benchmarking,computational-biology,10
crispr guide design off-target prediction high-throughput validation,computational-biology,10
drug discovery hit-to-lead optimization failure analysis medicinal chemistry,drug-discovery,10
protein ligand binding affinity prediction uncertainty calibration benchmark,drug-discovery,10
fusion plasma confinement disruption prediction machine learning,plasma-physics,10
climate model emulation uncertainty quantification physical consistency,earth-science,10
geophysical inverse problem neural operator benchmark dataset,earth-science,10
quantum chemistry reaction pathway planning ai benchmark,computational-chemistry,10
first principles materials simulation surrogate model generalization,computational-physics,10
